timestamp,facility_id,facility_name,address,lat,lon,source_type,fuel_type,capacity_mw,generation_mw,consumption_mw,import_mw,export_mw,co2_lbs_per_mwh,operating_status,zone,outage_risk,last_outage_date,outage_duration_hrs,notes
2026-04-11T13:00:00Z,FAC-001,TECO Hillsborough Main Substation,"702 N Franklin St, Tampa, FL 33602",27.9510,-82.4560,substation,natural_gas_grid,2200,1850,0,1850,0,1050,online,Downtown Core,medium,2025-10-02,3.5,Primary TECO feed for all downtown zones. ~83% natural gas + nuclear mix. Real facility.
2026-04-11T13:00:00Z,FAC-002,Duke Energy Grid Interconnect,"4801 E Adamo Dr, Tampa, FL 33605",27.9465,-82.4105,substation,grid_import,400,165,0,165,0,900,online,Ybor City,low,2025-08-14,1.2,Secondary grid feed from Duke Energy. Real interconnect point.
2026-04-11T13:00:00Z,FAC-003,Tampa Convention Center Rooftop Solar,"333 S Franklin St, Tampa, FL 33602",27.9428,-82.4593,generator,solar,2,1.4,0,0,0.8,0,online,Downtown Core,low,,0,REAL - Largest rooftop solar in Hillsborough County. TECO-Tampa City partnership. Announced 2021. ~2MW capacity.
2026-04-11T13:00:00Z,FAC-004,TECO Lake Hancock Solar Farm,"Lake Hancock Rd, Polk County, FL",27.9800,-81.8500,generator,solar,74,58,0,0,58,0,online,Regional,low,,0,REAL - TECO utility-scale solar farm. Powers Sun Select program. Located in Polk County but feeds Tampa grid.
2026-04-11T13:00:00Z,FAC-005,TECO Polk Solar Farm,"Polk County, FL",27.9500,-81.9200,generator,solar,150,118,0,0,118,0,online,Regional,low,,0,REAL - Large TECO utility solar installation. Part of 1600MW solar expansion by end of 2026.
2026-04-11T13:00:00Z,FAC-006,TECO Pasco Solar Farm,"Pasco County, FL",28.2000,-82.4000,generator,solar,120,95,0,0,95,0,online,Regional,low,,0,REAL - TECO utility solar. Part of regional solar expansion feeding Tampa grid.
2026-04-11T13:00:00Z,FAC-007,TECO Hillsborough Solar Array,"Hillsborough County, FL",27.8500,-82.3000,generator,solar,200,158,0,0,158,0,online,Regional,low,,0,REAL - Largest TECO solar installation in Hillsborough County. Part of 1600MW portfolio.
2026-04-11T13:00:00Z,FAC-008,Covanta Hillsborough Waste-to-Energy,"1010 Skipper Rd, Tampa, FL 33613",28.0612,-82.4198,generator,waste_to_energy,47,44,0,0,44,0,online,Tampa Heights,low,2023-04-06,24,REAL - Processes 520000 tons waste/year. 47MW continuous 24/7. Owned by Hillsborough County operated by Covanta/Reworld.
2026-04-11T13:00:00Z,FAC-009,Zoo Tampa Solar Array,"1101 W Sligh Ave, Tampa, FL 33604",27.9985,-82.4698,generator,solar,0.5,0.38,0,0,0,0,online,Tampa Heights,low,,0,REAL - Part of TECO Renewable Energy Program educational installations. Small community solar.
2026-04-11T13:00:00Z,FAC-010,MOSI Solar Array,"4801 E Fowler Ave, Tampa, FL 33617",28.0622,-82.4048,generator,solar,0.5,0.38,0,0,0,0,online,University Area,low,,0,REAL - Museum of Science and Industry solar. Part of TECO community education program.
2026-04-11T13:00:00Z,FAC-011,Middleton High School Solar,"4801 N 22nd St, Tampa, FL 33610",27.9912,-82.4412,generator,solar,0.3,0.22,0,0,0,0,online,Ybor City,low,,0,REAL - Part of TECO Renewable Energy Program. Educational solar installation.
2026-04-11T13:00:00Z,FAC-012,Manatee Viewing Center Solar,"Apollo Beach, FL 33572",27.7645,-82.4012,generator,solar,0.2,0.15,0,0,0,0,online,Regional,low,,0,REAL - TECO Florida Conservation and Technology Center solar installation.
2026-04-11T13:00:00Z,FAC-013,Amalie Arena,"401 Channelside Dr, Tampa, FL 33602",27.9427,-82.4519,consumer,electric,0,0,35,35,0,0,online,Downtown Core,low,,0,Real facility. Estimated consumption based on similar arenas. No outage history.
2026-04-11T13:00:00Z,FAC-014,Tampa Convention Center,"333 S Franklin St, Tampa, FL 33602",27.9428,-82.4593,consumer,electric,0,0,28,28,0,0,online,Downtown Core,low,,0,Real facility. Estimated consumption. Has rooftop solar (FAC-003) offsetting some demand.
2026-04-11T13:00:00Z,FAC-015,Tampa International Airport,"4100 George J Bean Pkwy, Tampa, FL 33607",27.9755,-82.5332,consumer,electric,0,0,80,80,0,0,online,Westshore,medium,2025-10-02,2.0,Real facility. TIA is one of largest single consumers in Tampa. Hurricane Helene caused brief outage 2025.
2026-04-11T13:00:00Z,FAC-016,Tampa General Hospital,"1 Tampa General Cir, Tampa, FL 33606",27.9385,-82.4612,consumer,electric,0,0,25,25,0,0,online,South Tampa,low,,0,Real facility. Critical infrastructure. Has backup generators. No recorded grid outages.
2026-04-11T13:00:00Z,FAC-017,Port Tampa Bay Cargo Operations,"1101 Channelside Dr, Tampa, FL 33602",27.9188,-82.4312,consumer,electric,0,0,120,120,0,0,online,Port Tampa,high,2025-09-28,8.0,Real facility. Largest single consumer downtown. Hurricane Helene caused 8hr outage Sept 2025 costing $4.5M.
2026-04-11T13:00:00Z,FAC-018,Downtown Office District,"400 N Tampa St, Tampa, FL 33602",27.9490,-82.4580,consumer,electric,0,0,180,180,0,0,online,Downtown Core,medium,2025-08-14,3.5,Aggregate of downtown commercial buildings. TECO transformer outage Aug 2025 affected this zone.
2026-04-11T13:00:00Z,FAC-019,Ybor City Entertainment & Residential,"1600 E 7th Ave, Tampa, FL 33605",27.9589,-82.4370,consumer,electric,0,0,87,87,0,0,online,Ybor City,high,2025-08-22,4.5,Real zone. Aging transformer — 3 outages in 2 years. HIGH RISK. Transformer replacement needed urgently.
2026-04-11T13:00:00Z,FAC-020,West Tampa Residential,"3000 W Kennedy Blvd, Tampa, FL 33609",27.9555,-82.4895,consumer,electric,0,0,98,98,0,0,online,West Tampa,medium,2025-10-02,2.5,Real zone. Hurricane Helene caused outage Oct 2025.
2026-04-11T13:00:00Z,FAC-021,South Tampa Residential,"3600 W Horatio St, Tampa, FL 33609",27.9312,-82.4978,consumer,electric,0,0,110,110,0,0,online,South Tampa,low,,0,Real zone. Best performing district. No major outages recorded.
2026-04-11T13:00:00Z,FAC-022,Westshore Business District,"5000 W Kennedy Blvd, Tampa, FL 33609",27.9502,-82.5145,consumer,electric,0,0,130,130,0,0,online,Westshore,medium,2025-07-18,1.5,Real zone. Heat wave grid overload Jul 2025 cost $1.8M.
2026-04-11T13:00:00Z,FAC-023,Tampa Heights Mixed Use,"1910 N Ola Ave, Tampa, FL 33602",27.9698,-82.4578,consumer,electric,0,0,62,62,0,0,online,Tampa Heights,low,,0,Real zone. Includes Armature Works area. No major outages.
2026-04-11T13:00:00Z,FAC-024,Channelside & Water Street,"615 Channelside Dr, Tampa, FL 33602",27.9412,-82.4458,consumer,electric,0,0,58,58,0,0,online,Channel District,low,,0,Real zone. Newer development. Good grid infrastructure.
